Answer_ID,Question_ID,Question_Full_Text,Answer,Full_Description,Theological_Label,Theol_Cons_Lib,Social_Cons_Lib,Counter_Pro_Modern,Super_Nat,Cult_Sep_Eng,Cleric_Egal,Div_Hum_Agency,Commun_Indiv,Liturg_Spont,Sacram_Funct,Literal_Crit,Intellect_Exper
GOD_01_A01,GOD_01,Which statement best describes your understanding of the Godhead?,"One God existing as three distinct, co-equal persons","God is one being in three co-equal, co-eternal, and consubstantial persons: Father, Son, and Holy Spirit.",Trinitarianism,0,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A
GOD_01_A02,GOD_01,Which statement best describes your understanding of the Godhead?,One God who plays three different roles or modes,"God is one person who has manifested in three different modes or roles: Father, Son, and Holy Spirit.",Modalism,20,N/A,30,30,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A
GOD_01_A03,GOD_01,Which statement best describes your understanding of the Godhead?,Two divine persons (Father & Son); the Spirit is power,"The Godhead consists of two co-eternal persons, the Father and the Son, while the Holy Spirit is God's power or influence.",Binitarianism,30,N/A,40,20,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A
GOD_01_A04,GOD_01,Which statement best describes your understanding of the Godhead?,"One supreme Father and a pre-existent created, subordinate Son","God is one person (the Father), and Jesus is a created spiritual being (the Son) who is subordinate to Him.",Arianism,40,N/A,30,50,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A
GOD_01_A05,GOD_01,Which statement best describes your understanding of the Godhead?,Three separate divine beings perfectly united in purpose,The Godhead consists of three distinct and separate divine beings (personages) who are perfectly united in purpose.,Tritheism,50,N/A,50,10,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A
GOD_01_A06,GOD_01,Which statement best describes your understanding of the Godhead?,Two opposing gods or forces (Good Spirit vs. Evil Matter),"There are two opposing divine principles or beings, one of spirit (good) and one of matter (evil).",Cosmic Dualism,90,N/A,40,15,N/A,N/A,N/A,N/A,N/A,N/A,90,N/A
GOD_01_A07,GOD_01,Which statement best describes your understanding of the Godhead?,One God who adopted the human Jesus as His Son,God is one person (the Father); Jesus was a human being adopted as God's Son at his baptism or resurrection.,Adoptionism,70,N/A,70,80,N/A,N/A,N/A,N/A,N/A,N/A,70,N/A
GOD_01_A10,GOD_01,Which statement best describes your understanding of the Godhead?,One God (Father); Jesus was a created human Messiah,"God is one person (the Father); Jesus is the unique human Son of God from conception, not a pre-existent being.",Biblical Unitarianism,60,N/A,60,90,N/A,N/A,N/A,N/A,N/A,N/A,40,N/A
GOD_01_A08,GOD_01,Which statement best describes your understanding of the Godhead?,One God containing both male and female characteristics,"God is a single being possessing dual, complementary characteristics of masculinity and femininity.",Divine Androgyny,80,N/A,90,40,N/A,N/A,N/A,N/A,N/A,N/A,80,N/A
GOD_01_A09,GOD_01,Which statement best describes your understanding of the Godhead?,"One God; ""Father, Son, Spirit"" are metaphors, not persons","The language of ""Father, Son, and Spirit"" is symbolic of God's nature and activity, not a literal description of persons.",Symbolic Trinitarianism,100,N/A,100,100,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A
GOD_04_A01,GOD_04,How does God relate to the created world and human actions?,God determines every event; humans have no independent will,"God's decree is the sole cause of everything; human choices are fully determined by Him, leaving no independent human will.",Theological Determinism,0,N/A,0,0,N/A,N/A,0,N/A,N/A,N/A,15,N/A
GOD_04_A02,GOD_04,How does God relate to the created world and human actions?,God decrees the outcome but works through free human choices,"God sovereignly decides history's outcome, but brings it about through the real, voluntary choices of human beings.",Compatibilism,10,N/A,10,15,N/A,N/A,15,N/A,N/A,N/A,40,N/A
GOD_04_A03,GOD_04,How does God relate to the created world and human actions?,God secures outcomes by arranging circumstances,"God knows what free creatures would do in any situation, so He creates the specific scenario where they freely choose what He intends.",Molinism,30,N/A,30,30,N/A,N/A,35,N/A,N/A,N/A,50,N/A
GOD_04_A04,GOD_04,How does God relate to the created world and human actions?,God foresees the future without controlling it,"God perfectly knows the future choices humans will make, and governs the world by responding to those choices rather than pre-determining them.",Simple Foreknowledge,20,N/A,20,45,N/A,N/A,50,N/A,N/A,N/A,30,N/A
GOD_04_A05,GOD_04,How does God relate to the created world and human actions?,God faces a partly unsettled future and adapts to human choices,"The future is not fully settled because free choices are real, so God adapts and responds as events unfold.",Open Theism,60,N/A,70,60,N/A,N/A,65,N/A,N/A,N/A,0,N/A
GOD_04_A06,GOD_04,How does God relate to the created world and human actions?,God cannot coerce events but only lures or persuades the world,"God does not control by force but influences and persuades, and God and the world affect each other over time.",Process Theism,90,N/A,100,75,N/A,N/A,80,N/A,N/A,N/A,90,N/A
GOD_04_A07,GOD_04,How does God relate to the created world and human actions?,A distant High God; the material world is flawed or evil,"The highest God is impersonal and distant from the physical world, which is viewed as flawed or illusory.",Gnosticism,100,N/A,50,100,N/A,N/A,100,N/A,N/A,N/A,100,N/A
GOD_04_A08,GOD_04,How does God relate to the created world and human actions?,God created the universe but no longer intervenes in it,"God created the world and its laws and does not intervene, so events and choices unfold on their own.",Deism,80,N/A,85,90,N/A,N/A,90,N/A,N/A,N/A,80,N/A
SCR_01_A01,SCR_01,What is the ultimate source of authority for faith and practice?,Scripture as the sole infallible rule,The Bible alone is the final and only completely trustworthy rule that governs all matters of faith and practice.,Sola Scriptura,0,N/A,40,30,N/A,70,N/A,80,N/A,N/A,0,50
SCR_01_A02,SCR_01,What is the ultimate source of authority for faith and practice?,Scripture interpreted through a prophetic lens,"The Bible is the final rule, but the writings of a specific, divinely-appointed messenger are essential to correctly interpret its message.",Prophetic Authority,60,N/A,80,20,N/A,30,N/A,60,N/A,N/A,30,80
SCR_01_A03,SCR_01,What is the ultimate source of authority for faith and practice?,Scripture and Tradition interpreted by an official office,"Scripture and historic tradition are interpreted authoritatively by the Church’s official, historic teaching office.",Magisterial Authority,30,N/A,10,70,N/A,0,N/A,10,N/A,N/A,60,20
SCR_01_A04,SCR_01,What is the ultimate source of authority for faith and practice?,Scripture and Tradition as one inseparable authority,"Scripture and the lived tradition of the Church are a single stream of truth; neither is superior to the other, as both emerge from one divine source.",Holy Tradition,20,N/A,0,50,N/A,20,N/A,0,N/A,N/A,70,70
SCR_01_A05,SCR_01,What is the ultimate source of authority for faith and practice?,"Scripture as primary, informed by history and reason","The Bible is the highest authority, while tradition, reason, and experience are used as necessary tools to help explain and apply its teachings.",Consultative Prima Scriptura,40,N/A,50,80,N/A,80,N/A,70,N/A,N/A,80,10
SCR_01_A06,SCR_01,What is the ultimate source of authority for faith and practice?,Scripture interpreted by a single governing body,"A specific, modern governing organization is the only authorized channel for interpreting the Bible and providing spiritual truth.",Institutional Authority,70,N/A,90,90,N/A,10,N/A,30,N/A,N/A,20,30
SCR_01_A07,SCR_01,What is the ultimate source of authority for faith and practice?,Scripture plus ongoing new revelation,"The Bible is authoritative, but God continues to provide new, binding, and equal revelation through modern apostles or prophets.",Open Canon,80,N/A,85,0,N/A,85,N/A,85,N/A,N/A,35,90
SCR_01_A08,SCR_01,What is the ultimate source of authority for faith and practice?,Scripture plus a founder's foundational writings,The Bible and the foundational writings of the community’s founder function together as the authorized rule for faith.,Dual Authority,50,N/A,70,40,N/A,60,N/A,50,N/A,N/A,40,60
SCR_01_A09,SCR_01,What is the ultimate source of authority for faith and practice?,Scripture guided by immediate inward revelation,"Direct, inward spiritual guidance from God is the primary authority, which clarifies and may even supersede the written word.",Inner Light,90,N/A,95,10,N/A,100,N/A,100,N/A,N/A,90,100
SCR_01_A10,SCR_01,What is the ultimate source of authority for faith and practice?,"Reason, conscience, and experience as the final test","Personal reason, moral conscience, and human experience are the final tests used to determine what to believe and how to live.",Rationalism,100,N/A,100,100,N/A,90,N/A,90,N/A,N/A,100,0
SCR_01_A11,SCR_01,What is the ultimate source of authority for faith and practice?,"Scripture as primary, bound by the early Church’s consensus","Scripture is the supreme authority, but it must be interpreted according to the binding decisions of the early Church's universal councils and creeds.",Patristic Authority,10,N/A,20,60,N/A,40,N/A,20,N/A,N/A,50,40
SCR_02_A01,SCR_02,Which statement best describes the nature of biblical inspiration?,Words dictated directly by God,God provided the exact words of the text to human writers who acted as passive instruments to record His speech.,Mechanical Dictation,0,N/A,0,0,N/A,N/A,0,N/A,N/A,N/A,0,0
SCR_02_A02,SCR_02,Which statement best describes the nature of biblical inspiration?,Words superintended by God through humans,God worked through the personalities and styles of human authors to ensure every word of the original text perfectly conveys His intended message without any error.,Verbal Plenary Inspiration,10,N/A,15,15,N/A,N/A,20,N/A,N/A,N/A,15,20
SCR_02_A03,SCR_02,Which statement best describes the nature of biblical inspiration?,Truthful in spiritual matters but human in details,"The text is divinely inspired and cannot fail in its purpose of revealing God and salvation, but it may contain human errors in history or science.",Limited Inerrancy,40,N/A,50,50,N/A,N/A,50,N/A,N/A,N/A,50,50
SCR_02_A04,SCR_02,Which statement best describes the nature of biblical inspiration?,Thoughts inspired by God but wording chosen by humans,"God inspired the core concepts and spiritual truths, but left the specific phrasing and historical framing to the human authors.",Conceptual Inspiration,30,N/A,40,35,N/A,N/A,40,N/A,N/A,N/A,35,40
SCR_02_A05,SCR_02,Which statement best describes the nature of biblical inspiration?,A witness that becomes God’s word in encounter,"The text is a unique human witness to divine truth; it is not itself identical to God’s Word, but God speaks through it as people engage with it.",Neo-Orthodox Inspiration,60,N/A,70,65,N/A,N/A,70,N/A,N/A,N/A,65,100
SCR_02_A06,SCR_02,Which statement best describes the nature of biblical inspiration?,A human record of religious experience,The text is a fallible human record of spiritual discovery and historical context that serves as a witness to truth despite its errors.,Historical Criticism,90,N/A,90,90,N/A,N/A,90,N/A,N/A,N/A,90,85
SCR_02_A07,SCR_02,Which statement best describes the nature of biblical inspiration?,Human insights enhanced by a spiritual influence,"Spiritual influence enhanced the natural wisdom and insights of the writers, much like other great works of religious literature.",Illumination Theory,75,N/A,80,80,N/A,N/A,80,N/A,N/A,N/A,80,75
SCR_02_A08,SCR_02,Which statement best describes the nature of biblical inspiration?,A purely human product with no divine involvement,"The text is a collection of purely human writings reflecting the culture, politics, and myths of its authors with no divine intervention.",Naturalistic View of Scripture,100,N/A,100,100,N/A,N/A,100,N/A,N/A,N/A,100,10
SCR_07_A07,SCR_07,"Is divine revelation ongoing, or did it cease with the apostolic age?",New Canon-Level Scripture Possible,"God continues to provide new, binding, and authoritative scripture through modern messengers that is equal in authority to the Bible.",Open Canon,100,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100
SCR_07_A06,SCR_07,"Is divine revelation ongoing, or did it cease with the apostolic age?",Authoritative prophecy & Gifts continues for the Church,"All spiritual gifts continue, and modern prophecy provides direct and authoritative messages from God that the Church is expected to follow.",Strong Continuationism,70,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85
SCR_07_A05,SCR_07,"Is divine revelation ongoing, or did it cease with the apostolic age?",Prophetic gifts continue but are subject to Scripture,"All spiritual gifts continue today, but modern prophecy is fallible and must always be tested against the final authority of the Bible.",Continuationism,50,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70
SCR_07_A04,SCR_07,"Is divine revelation ongoing, or did it cease with the apostolic age?",Supernatural insights are possible but rare,"Extraordinary spiritual manifestations may theoretically occur today, but they are not a normal part of church life and should be viewed with extreme caution.",Cautious Continuationism,40,N/A,N/A,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50
SCR_07_A03,SCR_07,"Is divine revelation ongoing, or did it cease with the apostolic age?",Public revelation is closed; private guidance remains,"The official revelation for the whole Church ended with the first apostles, but God may still grant private guidance or messages to individuals.",Closed Public Revelation,20,N/A,N/A,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30
SCR_07_A02,SCR_07,"Is divine revelation ongoing, or did it cease with the apostolic age?","Revelation gifts ceased, but miracles continue","Miraculous gifts like prophecy and tongues were unique to the apostolic age and have ended, though God still performs direct miracles through prayer.",Classical Cessationism,10,N/A,N/A,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15
SCR_07_A01,SCR_07,"Is divine revelation ongoing, or did it cease with the apostolic age?",All supernatural revelation has ended with the apostles,All extraordinary spiritual gifts and direct revelatory activity ended after the first apostles; God now works exclusively through the written Word.,Hard Cessationism,0,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
SCR_09_A01,SCR_09,Who has the authority to definitively interpret Scripture for the Church?,A unique messenger or governing body,"A specific, divinely-commissioned leader or a central organization provides the only binding and authoritative interpretation of the text.",Prophetic Authority,60,N/A,80,10,N/A,0,N/A,20,N/A,N/A,30,75
SCR_09_A02,SCR_09,Who has the authority to definitively interpret Scripture for the Church?,A living teaching office in historic succession,"A specific, ongoing office of leadership (an official hierarchy) has the exclusive and final power to provide the authentic, binding interpretation of the text for today.",Magisterial Authority,15,N/A,10,30,N/A,10,N/A,0,N/A,N/A,60,30
SCR_09_A03,SCR_09,Who has the authority to definitively interpret Scripture for the Church?,The universal consensus of the ancient Church,"The meaning is found in the historical agreement of the whole Church, as expressed in the ancient councils and the unchanging tradition of the early fathers.",Patristic Authority,0,N/A,0,50,N/A,30,N/A,10,N/A,N/A,50,25
SCR_09_A04,SCR_09,Who has the authority to definitively interpret Scripture for the Church?,Established confessions and church office,"The text interprets itself, but its essential meaning is authoritatively summarized in historic confessions and upheld by the church's teaching ministry.",Confessional Sola Scriptura,25,N/A,30,60,N/A,50,N/A,60,N/A,N/A,15,15
SCR_09_A05,SCR_09,Who has the authority to definitively interpret Scripture for the Church?,The gathered community together,The meaning of the text is discerned by the local community of believers as they collectively seek the guidance of the Spirit within their specific context.,Communal Discernment,70,N/A,70,70,N/A,80,N/A,40,N/A,N/A,80,95
SCR_09_A06,SCR_09,Who has the authority to definitively interpret Scripture for the Church?,The individual believer,"While teachers and traditions are helpful, the individual, guided by the Spirit, is ultimately responsible for interpreting the text’s meaning.",Individual Interpretation,85,N/A,90,80,N/A,100,N/A,100,N/A,N/A,40,85
SCR_09_A07,SCR_09,Who has the authority to definitively interpret Scripture for the Church?,Human reason and conscience,"The final test of the text's meaning and relevance is the individual's own reason and moral conscience, informed by modern knowledge and experience.",Rationalism,100,N/A,100,100,N/A,100,N/A,100,N/A,N/A,100,0
SAL_03_A01,SAL_03,What is the primary meaning of Christ's death on the cross?,A legal substitution for punishment,"Christ’s death was primarily a sacrifice where He bore the specific legal penalty and divine wrath deserved by humanity, satisfying the demands of justice.",Penal Substitutionary Atonement,0,N/A,40,10,N/A,N/A,0,85,N/A,N/A,0,10
SAL_03_A02,SAL_03,What is the primary meaning of Christ's death on the cross?,A victory over death and evil powers,"Christ’s death and resurrection was primarily a triumph that liberated humanity from bondage to death, the devil, and the powers of evil.",Christus Victor,20,N/A,0,0,N/A,N/A,10,10,N/A,N/A,30,60
SAL_03_A08,SAL_03,What is the primary meaning of Christ's death on the cross?,A restoration of God's offended honor,"Christ’s death was an offering of infinite value that made satisfaction to God for the insult of human sin, restoring the balance of justice and honor.",Satisfaction Theory,10,N/A,30,15,N/A,N/A,20,50,N/A,N/A,20,0
SAL_03_A05,SAL_03,What is the primary meaning of Christ's death on the cross?,A healing and perfection of human nature,"Christ’s death was the climax of His life, where He retraced and ""re-did"" the human experience to heal our nature from within and unite us to God.",Recapitulation Theory,30,N/A,10,25,N/A,N/A,30,0,N/A,N/A,40,70
SAL_03_A06,SAL_03,What is the primary meaning of Christ's death on the cross?,A demonstration to uphold moral order,"Christ’s death was not a direct payment for sins, but a public demonstration of the seriousness of sin intended to maintain the integrity of God’s moral government.",Governmental Theory,50,N/A,50,50,N/A,N/A,60,30,N/A,N/A,50,30
SAL_03_A07,SAL_03,What is the primary meaning of Christ's death on the cross?,A demonstration of love that inspires change,"Christ’s death was primarily a supreme display of God’s love intended to soften the human heart, leading individuals to repentance and moral transformation.",Moral Influence Theory,85,N/A,80,80,N/A,N/A,90,100,N/A,N/A,80,90
SAL_03_A10,SAL_03,What is the primary meaning of Christ's death on the cross?,A symbolic or mythic representation of truth,"Christ’s death is a profound symbol or myth that expresses timeless spiritual truths about sacrifice and renewal, rather than an objective transaction with God.",Symbolic Atonement,100,N/A,100,100,N/A,N/A,100,70,N/A,N/A,100,100
SAL_06_A01,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,God actively decrees both who is saved and who is damned,"God's ultimate choice is the direct cause of where everyone ends up; He actively selects certain individuals for salvation and actively selects the rest for damnation, fully determining human choices.",Symmetrical Double Predestination,0,N/A,25,0,N/A,N/A,0,N/A,N/A,N/A,0,N/A
SAL_06_A02,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,God elects some to be saved and leaves the rest to their sin,"God chooses certain individuals to be saved and ensures they will believe, but He simply passes over the rest, allowing them to follow their own fallen desires and face the consequences.",Asymmetrical Double Predestination,10,N/A,30,10,N/A,N/A,10,N/A,N/A,N/A,15,N/A
SAL_06_A03,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,"God provides sufficient grace to all, but provides special grace to the elect that guarantees free response","God gives enough grace for anyone to be saved, but He gives a special, highly effective grace to His chosen people that guarantees they will freely and willingly choose to follow Him.",Efficacious Grace,20,N/A,15,20,N/A,N/A,20,N/A,N/A,N/A,40,N/A
SAL_06_A04,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,"God gives faith as a pure gift, but humans can reject it","Salvation is given purely as a gift without any human decision, cooperation, or effort; however, individuals retain the power to actively resist and reject this saving grace.",Resistible Monergism,30,N/A,35,30,N/A,N/A,30,N/A,N/A,N/A,30,N/A
SAL_06_A05,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,God initiates salvation; the weakened human will must actively strive to align with it,"The human will, damaged but not destroyed by the fall, retains a natural capacity to respond. Divine grace always initiates and sustains the process, but the individual must exert their own continuous effort to participate in and unite with God's saving action.",Synergism,50,N/A,0,60,N/A,N/A,65,N/A,N/A,N/A,70,N/A
SAL_06_A09,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,God restores the will so humans can choose to believe,"People are completely unable to choose God on their own, but God gives a universal grace to everyone that heals the human will just enough so that an individual can make the final choice to believe or reject Him.",Prevenient Grace,40,N/A,45,50,N/A,N/A,50,N/A,N/A,N/A,60,N/A
SAL_06_A08,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,"God provides the Gospel, which humans naturally can accept","Humanity inherently possesses the natural capacity to hear, understand, and believe the Gospel message; no separate, inward ""prevenient grace"" is required before a person can make the choice.",Provisionism,70,N/A,70,85,N/A,N/A,85,N/A,N/A,N/A,85,N/A
SAL_06_A10,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,God leaves salvation entirely to unassisted human moral effort,Humanity possesses the complete natural autonomy and moral power to live perfectly and choose the good without any absolute need for special divine grace or intervention.,Absolute Human Autonomy,100,N/A,100,100,N/A,N/A,100,N/A,N/A,N/A,100,N/A
SAL_07_A01,SAL_07,How is a person justified before God?,A pure gift requiring no human action or response,"God declares certain people righteous entirely apart from any human response, including faith; human belief is simply waking up to a status God already granted from eternity.",Eternal Justification,0,N/A,60,0,N/A,100,0,100,N/A,100,40,0
SAL_07_A02,SAL_07,How is a person justified before God?,A permanent legal declaration through trusting Christ alone,"God legally declares a person right with Him based solely on their trust in Christ. This standing is a permanent gift that cannot be lost, though genuine trust will naturally lead to a changed life.",Forensic Justification (Eternal Security),10,N/A,40,10,N/A,90,10,90,N/A,95,0,10
SAL_07_A03,SAL_07,How is a person justified before God?,A conditional legal declaration through trusting Christ alone,"God legally declares a person right with Him based solely on their trust in Christ. However, this standing requires ongoing trust and can be lost if a person entirely abandons the faith.",Forensic Justification (Conditional Security),15,N/A,50,60,N/A,80,30,80,N/A,85,10,30
SAL_07_A07,SAL_07,How is a person justified before God?,A declaration enacted at the moment of water baptism,"God forgives and accepts a person by grace through faith, but this specific legal declaration and spiritual cleansing occurs strictly at the moment of water baptism.",Baptismal Justification,40,N/A,20,50,N/A,30,40,40,N/A,20,30,50
SAL_07_A08,SAL_07,How is a person justified before God?,An inward transformation requiring cooperative love and works,"God does not just legally declare a person right, but actually makes them inwardly righteous through grace. This requires lifelong cooperation, where faith must be expressed in love and good works.",Infused Righteousness,20,N/A,10,30,N/A,0,60,20,N/A,0,50,80
SAL_07_A09,SAL_07,How is a person justified before God?,A progressive healing and union with God's life,"Becoming right with God is not primarily a legal transaction, but a lifelong process of healing human nature and participating in God's own life and energies.",Theosis,30,N/A,0,20,N/A,15,70,10,N/A,10,70,100
SAL_07_A10,SAL_07,How is a person justified before God?,A foundational grace completed by strict obedience,"God provides foundational grace and forgiveness, but ultimate acceptance and justification require a person's strict obedience to divine commandments, laws, and ordinances.",Covenantal Nomism,70,N/A,80,80,N/A,60,85,0,N/A,70,85,70
SAL_07_A12,SAL_07,How is a person justified before God?,A status earned through moral behavior and human effort,"A person's ultimate standing is based primarily on their own good deeds, ethical behavior, and moral self-improvement, without a need for supernatural grace.",Moralism,100,N/A,100,100,N/A,100,100,100,N/A,100,100,90
